testcase_index,cumulative_time_seconds
1,0.016399083000578685
2,0.01641645799827529
3,0.0164455000012822
4,0.016449457998533035
5,0.01645120800094446
6,0.016458207999676233
7,0.016459708000184037
8,0.016461292001622496
9,0.01646279199849232
10,0.01646433299902128
11,0.01646604200141155
12,0.016467582998302532
13,0.01646904199878918
14,0.016470499998831656
15,0.01647195799887413
16,0.01647354200031259
17,0.01647508300084155
18,0.016476625001814682
19,0.016478000001370674
20,0.016479500001878478
21,0.016480999998748302
22,0.016482499999256106
23,0.016484042000229238
24,0.016485500000271713
25,0.01648695800031419
26,0.016488707999087637
27,0.01649020799959544
28,0.01649162499961676
29,0.01650112499919487
30,0.01650299999892013
31,0.01650458299991442
32,0.016506042000401067
33,0.016507583000930026
34,0.016515541999979177
35,0.01651691699953517
36,0.016518417000042973
37,0.01651983299962012
38,0.01652129200010677
39,0.016522707999683917
40,0.01652408299923991
41,0.01652549999926123
42,0.016528457999811508
43,0.016529791999346344
44,0.016531166998902336
45,0.016532707999431295
46,0.016534124999452615
47,0.016535499999008607
48,0.016536916999029927
49,0.016549374999158317
50,0.016551000000617933
51,0.01655258300161222
52,0.016553917001147056
53,0.01655541700165486
54,0.01655833300173981
55,0.016559832998609636
