testcase_index,cumulative_time_seconds
1,0.04494574999989709
2,0.044967999999698804
3,0.04497129099991071
4,0.04497554099998524
5,0.04499237499976516
6,0.044995374999871274
7,0.044997415999660006
8,0.04499962499994581
9,0.0450017499997557
10,0.0450044579997666
11,0.04500674999962939
12,0.045008749999851716
13,0.04501087499966161
14,0.04501274999984162
15,0.04501466599958803
16,0.04501666599981036
17,0.04501883299963083
18,0.045021165999969526
19,0.045023249999758264
20,0.04502508299992769
21,0.04502666600001248
22,0.04502816599961079
23,0.04502962499964269
24,0.045031165999716904
25,0.045032540999727644
26,0.045036165999590594
27,0.04503754099960133
28,0.04503895799962265
29,0.04504029099962281
30,0.04504179099967587
31,0.04504341599977124
32,0.045045040999866615
33,0.045046875000025466
34,0.04505054099990957
35,0.04505258299968773
36,0.04505449999987832
37,0.04505645799963531
