testcase_index,cumulative_time_seconds
1,0.01538974999994025
2,0.015413874999921973
3,0.015417832999901293
4,0.015420374999848718
5,0.015422749999743246
6,0.015440916999978072
7,0.0154425830000946
8,0.015444125000158238
9,0.015445666999767127
10,0.015447457999925973
11,0.015449125000031927
12,0.015450625000084983
13,0.01545216700014862
14,0.015453916999831563
15,0.015455875000043306
16,0.015457749999768566
17,0.015459457999895676
18,0.01546108299999105
19,0.01546254200002295
20,0.015464042000076006
21,0.015471624999918276
22,0.015473458000087703
23,0.01547504200016192
24,0.01547641700017266
25,0.015477792000183399
26,0.015480458000183717
27,0.015481957999782026
28,0.015483457999835082
29,0.015484916999866982
30,0.015486332999898877
31,0.015487832999951934
32,0.01548933300000499
33,0.015490833000058046
34,0.01549404199977289
35,0.015495624999857682
36,0.015497082999900158
37,0.015498582999953214
